division_id,date,cases
northern,2006-04-17,0
northern,2006-04-24,0
northern,2006-05-01,0
northern,2006-05-08,0
northern,2006-05-15,0
northern,2006-05-22,0
northern,2006-05-29,0
northern,2006-06-05,1
northern,2006-06-12,0
northern,2006-06-19,0
northern,2006-06-26,0
northern,2006-07-03,0
northern,2006-07-10,0
northern,2006-07-17,0
northern,2006-07-24,0
northern,2006-07-31,0
northern,2006-08-07,2
northern,2006-08-14,6
northern,2006-08-21,0
northern,2006-08-28,0
northern,2006-09-04,0
northern,2006-09-11,3
northern,2006-09-18,0
northern,2006-09-25,0
northern,2006-10-02,0
northern,2006-10-09,6
northern,2006-10-16,0
northern,2006-10-23,0
northern,2006-10-30,0
northern,2006-11-06,0
northern,2006-11-13,2
northern,2006-11-20,0
northern,2006-11-27,0
northern,2006-12-04,0
northern,2006-12-11,11
northern,2006-12-18,0
northern,2007-01-01,1
northern,2007-01-08,0
northern,2007-01-15,1
northern,2007-01-22,0
northern,2007-01-29,0
northern,2007-02-05,4
northern,2007-02-12,1
northern,2007-02-19,0
northern,2007-02-26,0
northern,2007-03-05,3
northern,2007-03-12,0
northern,2007-03-19,1
northern,2007-03-26,1
northern,2007-04-02,0
northern,2007-04-09,23
northern,2007-04-16,2
northern,2007-04-23,5
northern,2007-04-30,0
northern,2007-05-07,7
northern,2007-05-14,21
northern,2007-05-21,0
northern,2007-05-28,0
northern,2007-06-04,1
northern,2007-06-11,0
northern,2007-06-18,0
northern,2007-06-25,0
northern,2007-07-02,0
northern,2007-07-09,2
northern,2007-07-16,0
northern,2007-07-23,0
northern,2007-07-30,0
northern,2007-08-06,1
northern,2007-08-13,14
northern,2007-08-20,0
northern,2007-08-27,3
northern,2007-09-03,0
northern,2007-09-10,7
northern,2007-09-17,10
northern,2007-09-24,1
northern,2007-10-01,2
northern,2007-10-08,0
northern,2007-10-15,0
northern,2007-10-22,6
northern,2007-10-29,1
northern,2007-11-05,1
northern,2007-11-12,2
northern,2007-11-19,0
northern,2007-11-26,0
northern,2007-12-03,2
northern,2007-12-10,0
northern,2007-12-17,0
northern,2007-12-24,0
northern,2008-01-01,0
northern,2008-01-07,0
