train_end,test_start,test_end,auc,pr_auc,hit_rate,false_alarm_rate,n_test
2010-08-24,2010-08-31,2010-09-14,,,,0.0,9
2010-08-31,2010-09-07,2010-09-21,,,,0.0,9
2010-09-07,2010-09-14,2010-09-28,,,,0.0,9
2010-09-14,2010-09-21,2010-10-05,,,,0.0,9
2010-09-21,2010-09-28,2010-10-12,,,,0.0,9
2010-09-28,2010-10-05,2010-10-19,,,,0.0,9
2010-10-05,2010-10-12,2010-10-26,,,,0.0,9
2010-10-12,2010-10-19,2010-11-02,,,,0.0,9
2010-10-19,2010-10-26,2010-11-09,,,,0.0,9
2010-10-26,2010-11-02,2010-11-16,,,,0.0,9
2010-11-02,2010-11-09,2010-11-23,,,,0.0,9
2010-11-09,2010-11-16,2010-11-30,,,,0.0,9
2010-11-16,2010-11-23,2010-12-07,,,,0.1111111111111111,9
2010-11-23,2010-11-30,2010-12-14,,,,0.1111111111111111,9
2010-11-30,2010-12-07,2010-12-21,0.375,0.08333333333333333,0.0,0.0,9
2010-12-07,2010-12-14,2010-12-28,0.625,0.125,0.0,0.125,9
2010-12-14,2010-12-21,2011-01-04,0.7142857142857142,0.2875,0.0,0.14285714285714285,9
2010-12-21,2010-12-28,2011-01-11,0.9285714285714286,0.7916666666666666,0.0,0.0,9
2010-12-28,2011-01-04,2011-01-18,0.9444444444444444,0.9027777777777777,0.0,0.0,9
2011-01-04,2011-01-11,2011-01-25,0.8,0.8660714285714286,0.0,0.0,9
2011-01-11,2011-01-18,2011-02-01,0.6111111111111112,0.8282738095238095,0.0,0.0,9
2011-01-18,2011-01-25,2011-02-08,0.8571428571428571,0.9662698412698412,0.14285714285714285,0.0,9
2011-01-25,2011-02-01,2011-02-15,0.5,0.5088888888888888,0.2,0.25,9
2011-02-01,2011-02-08,2011-02-22,0.45,0.3723214285714286,0.25,0.2,9
2011-02-08,2011-02-15,2011-03-01,0.1428571428571429,0.13392857142857142,0.0,0.2857142857142857,9
2011-02-15,2011-02-22,2011-03-08,0.2,0.30406746031746035,0.25,0.2,9
2011-02-22,2011-03-01,2011-03-15,0.3333333333333333,0.25595238095238093,0.0,0.16666666666666666,9
2011-03-01,2011-03-08,2011-03-22,0.7,0.519345238095238,0.0,0.0,9
2011-03-08,2011-03-15,2011-03-29,0.6428571428571428,0.24583333333333335,0.0,0.0,9
2011-03-15,2011-03-22,2011-04-05,0.9285714285714286,0.7916666666666666,0.0,0.0,9
2011-03-22,2011-03-29,2011-04-12,0.9285714285714286,0.7916666666666666,0.0,0.0,9
2011-03-29,2011-04-05,2011-04-19,0.6499999999999999,0.7399305555555555,0.0,0.0,9
